FEN,Evaluation
3r1rk1/ppp2ppp/q7/8/1b2P3/2N1B1P1/PP1N1PBP/2R1K2R b - - 5 20,"{'type': 'cp', 'value': 0}"
3r1rk1/ppp2ppp/q7/8/4P3/2b1B1P1/PP1N1PBP/2R1K2R w - - 0 21,"{'type': 'cp', 'value': 0}"
3r1rk1/ppp2ppp/q7/8/4P3/2R1B1P1/PP1N1PBP/4K2R b - - 0 21,"{'type': 'cp', 'value': 0}"
3r1rk1/ppp2ppp/8/8/4P3/2R1B1P1/qP1N1PBP/4K2R w - - 0 22,"{'type': 'cp', 'value': 0}"
3r1rk1/ppp2ppp/8/8/4P3/4B1P1/qPRN1PBP/4K2R b - - 1 22,"{'type': 'cp', 'value': 0}"
3r1rk1/pp3ppp/8/2p5/4P3/4B1P1/qPRN1PBP/4K2R w - - 0 23,"{'type': 'cp', 'value': 33}"
3r1rk1/pp3ppp/8/2p5/4P3/4B1P1/qPRNKPBP/7R b - - 1 23,"{'type': 'cp', 'value': 0}"
3r1rk1/pp3ppp/q7/2p5/4P3/4B1P1/1PRNKPBP/7R w - - 2 24,"{'type': 'cp', 'value': 0}"
3r1rk1/pp3ppp/q7/2p5/2N1P3/4B1P1/1PR1KPBP/7R b - - 3 24,"{'type': 'cp', 'value': -6}"
3r1rk1/pp3pp1/q6p/2p5/2N1P3/4B1P1/1PR1KPBP/7R w - - 0 25,"{'type': 'cp', 'value': 48}"
3r1rk1/pp3pp1/q6p/2p1P3/2N5/4B1P1/1PR1KPBP/7R b - - 0 25,"{'type': 'cp', 'value': 31}"
3r1rk1/p4pp1/q6p/1pp1P3/2N5/4B1P1/1PR1KPBP/7R w - - 0 26,"{'type': 'cp', 'value': 15}"
3r1rk1/p4pp1/q2N3p/1pp1P3/8/4B1P1/1PR1KPBP/7R b - - 1 26,"{'type': 'cp', 'value': 0}"
3r1rk1/p4pp1/q2N3p/2p1P3/1p6/4B1P1/1PR1KPBP/7R w - - 0 27,"{'type': 'cp', 'value': 45}"
3r1rk1/p4pp1/q6p/2p1P3/1pN5/4B1P1/1PR1KPBP/7R b - - 1 27,"{'type': 'cp', 'value': 40}"
3rr1k1/p4pp1/q6p/2p1P3/1pN5/4B1P1/1PR1KPBP/7R w - - 2 28,"{'type': 'cp', 'value': 53}"
3rr1k1/p4pp1/q6p/2p1P3/1pN5/1P2B1P1/2R1KPBP/7R b - - 0 28,"{'type': 'cp', 'value': -86}"
3r2k1/p4pp1/q6p/2p1r3/1pN5/1P2B1P1/2R1KPBP/7R w - - 0 29,"{'type': 'cp', 'value': -62}"
3r2k1/p4pp1/q6p/2p1r3/1pN5/1P2B1P1/2R1KPBP/2R5 b - - 1 29,"{'type': 'cp', 'value': -73}"
3r2k1/p3rpp1/q6p/2p5/1pN5/1P2B1P1/2R1KPBP/2R5 w - - 2 30,"{'type': 'cp', 'value': -74}"
3r2k1/p3rpp1/q6p/2p5/1pN5/1P2B1P1/1R2KPBP/2R5 b - - 3 30,"{'type': 'cp', 'value': -102}"
3r2k1/p2r1pp1/q6p/2p5/1pN5/1P2B1P1/1R2KPBP/2R5 w - - 4 31,"{'type': 'cp', 'value': -94}"
3r2k1/p2r1pp1/q6p/2p5/1pN1B3/1P2B1P1/1R2KP1P/2R5 b - - 5 31,"{'type': 'cp', 'value': -93}"
3r2k1/p2r1pp1/4q2p/2p5/1pN1B3/1P2B1P1/1R2KP1P/2R5 w - - 6 32,"{'type': 'cp', 'value': -112}"
3r2k1/p2r1pp1/4q2p/2p5/1pN5/1P2B1P1/1RB1KP1P/2R5 b - - 7 32,"{'type': 'cp', 'value': -144}"
