FEN,Evaluation
r2q1rk1/1p1bbppp/4p3/p1P1P3/1nQ5/BPn2NP1/P3BP1P/R2R2K1 w - - 0 17,"{'type': 'cp', 'value': 87}"
r2q1rk1/1p1bbppp/4p3/p1P1P3/1n6/BPQ2NP1/P3BP1P/R2R2K1 b - - 0 17,"{'type': 'cp', 'value': 96}"
2rq1rk1/1p1bbppp/4p3/p1P1P3/1n6/BPQ2NP1/P3BP1P/R2R2K1 w - - 1 18,"{'type': 'cp', 'value': 188}"
2rq1rk1/1p1bbppp/4p3/p1P1P3/1B6/1PQ2NP1/P3BP1P/R2R2K1 b - - 0 18,"{'type': 'cp', 'value': 160}"
2rq1rk1/1p1bbppp/4p3/2P1P3/1p6/1PQ2NP1/P3BP1P/R2R2K1 w - - 0 19,"{'type': 'cp', 'value': 152}"
2rq1rk1/1p1bbppp/4p3/2P1P3/1p6/1P3NP1/P2QBP1P/R2R2K1 b - - 1 19,"{'type': 'cp', 'value': 111}"
3q1rk1/1prbbppp/4p3/2P1P3/1p6/1P3NP1/P2QBP1P/R2R2K1 w - - 2 20,"{'type': 'cp', 'value': 113}"
3q1rk1/1prbbppp/4p3/2P1P3/1p6/PP3NP1/3QBP1P/R2R2K1 b - - 0 20,"{'type': 'cp', 'value': 162}"
3q1rk1/1prb1ppp/4p3/2b1P3/1p6/PP3NP1/3QBP1P/R2R2K1 w - - 0 21,"{'type': 'cp', 'value': 192}"
3q1rk1/1prb1ppp/4p3/1Bb1P3/1p6/PP3NP1/3Q1P1P/R2R2K1 b - - 1 21,"{'type': 'cp', 'value': 175}"
3q1rk1/1prb1ppp/4p3/1Bb1P3/8/pP3NP1/3Q1P1P/R2R2K1 w - - 0 22,"{'type': 'cp', 'value': 246}"
3q1rk1/1prB1ppp/4p3/2b1P3/8/pP3NP1/3Q1P1P/R2R2K1 b - - 0 22,"{'type': 'cp', 'value': 220}"
q4rk1/1prB1ppp/4p3/2b1P3/8/pP3NP1/3Q1P1P/R2R2K1 w - - 1 23,"{'type': 'cp', 'value': 291}"
q4rk1/1prB1ppp/4p3/2b1P3/1P6/p4NP1/3Q1P1P/R2R2K1 b - - 0 23,"{'type': 'cp', 'value': 263}"
q4rk1/1prBbppp/4p3/4P3/1P6/p4NP1/3Q1P1P/R2R2K1 w - - 1 24,"{'type': 'cp', 'value': 293}"
q4rk1/1prBbppp/4p3/4P3/1P6/p3QNP1/5P1P/R2R2K1 b - - 2 24,"{'type': 'cp', 'value': 273}"
1q3rk1/1prBbppp/4p3/4P3/1P6/p3QNP1/5P1P/R2R2K1 w - - 3 25,"{'type': 'cp', 'value': 375}"
1q3rk1/1prBbppp/4p3/4P3/1P6/R3QNP1/5P1P/3R2K1 b - - 0 25,"{'type': 'cp', 'value': 383}"
1q3rk1/1prB1ppp/4p3/4P3/1b6/R3QNP1/5P1P/3R2K1 w - - 0 26,"{'type': 'cp', 'value': 416}"
1q3rk1/1prB1ppp/4p3/4P3/1b6/4QNP1/5P1P/R2R2K1 b - - 1 26,"{'type': 'cp', 'value': 363}"
1q3rk1/1p1B1ppp/4p3/4P3/1b6/2r1QNP1/5P1P/R2R2K1 w - - 2 27,"{'type': 'cp', 'value': 428}"
1q3rk1/1p1B1ppp/4p3/4P3/1b1Q4/2r2NP1/5P1P/R2R2K1 b - - 3 27,"{'type': 'cp', 'value': 356}"
5rk1/1pqB1ppp/4p3/4P3/1b1Q4/2r2NP1/5P1P/R2R2K1 w - - 4 28,"{'type': 'cp', 'value': 520}"
5rk1/1pqB1ppp/4p3/4P3/1Q6/2r2NP1/5P1P/R2R2K1 b - - 0 28,"{'type': 'cp', 'value': 432}"
5rk1/1pqB1ppp/4p3/4P3/1Q6/5rP1/5P1P/R2R2K1 w - - 0 29,"{'type': 'cp', 'value': 427}"
5rk1/1pqB1ppp/4p3/4P3/1Q6/5rP1/5P1P/2RR2K1 b - - 1 29,"{'type': 'cp', 'value': 386}"
5rk1/1p1B1ppp/4p3/4q3/1Q6/5rP1/5P1P/2RR2K1 w - - 0 30,"{'type': 'cp', 'value': 375}"
2R2rk1/1p1B1ppp/4p3/4q3/1Q6/5rP1/5P1P/3R2K1 b - - 1 30,"{'type': 'cp', 'value': 357}"
2r3k1/1p1B1ppp/4p3/4q3/1Q6/5rP1/5P1P/3R2K1 w - - 0 31,"{'type': 'cp', 'value': 339}"
2B3k1/1p3ppp/4p3/4q3/1Q6/5rP1/5P1P/3R2K1 b - - 0 31,"{'type': 'cp', 'value': 324}"
2B3k1/1p3ppp/4pq2/8/1Q6/5rP1/5P1P/3R2K1 w - - 1 32,"{'type': 'cp', 'value': 479}"
6k1/1B3ppp/4pq2/8/1Q6/5rP1/5P1P/3R2K1 b - - 0 32,"{'type': 'cp', 'value': 371}"
6k1/1B3ppp/4pq2/8/1Q6/2r3P1/5P1P/3R2K1 w - - 1 33,"{'type': 'cp', 'value': 724}"
6k1/1B3ppp/4pq2/1Q6/8/2r3P1/5P1P/3R2K1 b - - 2 33,"{'type': 'cp', 'value': 354}"
6k1/1B3p1p/4pqp1/1Q6/8/2r3P1/5P1P/3R2K1 w - - 0 34,"{'type': 'cp', 'value': 389}"
4Q1k1/1B3p1p/4pqp1/8/8/2r3P1/5P1P/3R2K1 b - - 1 34,"{'type': 'cp', 'value': 427}"
4Q3/1B3pkp/4pqp1/8/8/2r3P1/5P1P/3R2K1 w - - 2 35,"{'type': 'cp', 'value': 453}"
3RQ3/1B3pkp/4pqp1/8/8/2r3P1/5P1P/6K1 b - - 3 35,"{'type': 'cp', 'value': 429}"
3RQ3/1B3p1p/4pqpk/8/8/2r3P1/5P1P/6K1 w - - 4 36,"{'type': 'cp', 'value': 445}"
4Q3/1B1R1p1p/4pqpk/8/8/2r3P1/5P1P/6K1 b - - 5 36,"{'type': 'cp', 'value': 441}"
4Q3/1B1R1p1p/4pqpk/8/8/6P1/5P1P/2r3K1 w - - 6 37,"{'type': 'cp', 'value': 465}"
4Q3/1B1R1p1p/4pqpk/8/8/6P1/5PKP/2r5 b - - 7 37,"{'type': 'cp', 'value': 431}"
4Q3/1B1R1p1p/4pqpk/8/8/6P1/2r2PKP/8 w - - 8 38,"{'type': 'cp', 'value': 543}"
5Q2/1B1R1p1p/4pqpk/8/8/6P1/2r2PKP/8 b - - 9 38,"{'type': 'cp', 'value': 545}"
5Q2/1B1R1pqp/4p1pk/8/8/6P1/2r2PKP/8 w - - 10 39,"{'type': 'cp', 'value': 528}"
8/1B1R1Qqp/4p1pk/8/8/6P1/2r2PKP/8 b - - 0 39,"{'type': 'cp', 'value': 518}"
8/1B1R1q1p/4p1pk/8/8/6P1/2r2PKP/8 w - - 0 40,"{'type': 'cp', 'value': 492}"
8/1B3R1p/4p1pk/8/8/6P1/2r2PKP/8 b - - 0 40,"{'type': 'cp', 'value': 501}"
8/1B3R1p/4p1pk/8/2r5/6P1/5PKP/8 w - - 1 41,"{'type': 'cp', 'value': 539}"
8/5R1p/B3p1pk/8/2r5/6P1/5PKP/8 b - - 2 41,"{'type': 'cp', 'value': 499}"
8/5R1p/B3p1pk/2r5/8/6P1/5PKP/8 w - - 3 42,"{'type': 'cp', 'value': 557}"
8/5R1p/4p1pk/2r5/8/3B2P1/5PKP/8 b - - 4 42,"{'type': 'cp', 'value': 518}"
8/5R1p/4p1pk/3r4/8/3B2P1/5PKP/8 w - - 5 43,"{'type': 'cp', 'value': 509}"
8/5R1p/4p1pk/3r4/8/6P1/5PKP/5B2 b - - 6 43,"{'type': 'cp', 'value': 499}"
8/5R1p/4p1pk/r7/8/6P1/5PKP/5B2 w - - 7 44,"{'type': 'cp', 'value': 533}"
8/2R4p/4p1pk/r7/8/6P1/5PKP/5B2 b - - 8 44,"{'type': 'cp', 'value': 497}"
8/2R4p/4p1pk/8/8/r5P1/5PKP/5B2 w - - 9 45,"{'type': 'cp', 'value': 541}"
8/2R4p/4p1pk/8/8/r5PP/5PK1/5B2 b - - 0 45,"{'type': 'cp', 'value': 495}"
8/2R4p/4p2k/6p1/8/r5PP/5PK1/5B2 w - - 0 46,"{'type': 'cp', 'value': 513}"
8/4R2p/4p2k/6p1/8/r5PP/5PK1/5B2 b - - 1 46,"{'type': 'cp', 'value': 488}"
8/4R2p/4p1k1/6p1/8/r5PP/5PK1/5B2 w - - 2 47,"{'type': 'cp', 'value': 517}"
8/7p/4R1k1/6p1/8/r5PP/5PK1/5B2 b - - 0 47,"{'type': 'cp', 'value': 514}"
8/6kp/4R3/6p1/8/r5PP/5PK1/5B2 w - - 1 48,"{'type': 'cp', 'value': 528}"
8/6kp/4R3/6p1/6P1/r6P/5PK1/5B2 b - - 0 48,"{'type': 'cp', 'value': 508}"
8/6kp/4R3/6p1/r5P1/7P/5PK1/5B2 w - - 1 49,"{'type': 'cp', 'value': 547}"
8/4R1kp/8/6p1/r5P1/7P/5PK1/5B2 b - - 2 49,"{'type': 'cp', 'value': 507}"
8/4R2p/7k/6p1/r5P1/7P/5PK1/5B2 w - - 3 50,"{'type': 'cp', 'value': 540}"
8/7p/4R2k/6p1/r5P1/7P/5PK1/5B2 b - - 4 50,"{'type': 'cp', 'value': 544}"
8/6kp/4R3/6p1/r5P1/7P/5PK1/5B2 w - - 5 51,"{'type': 'cp', 'value': 539}"
8/6kp/4R3/6p1/r5P1/3B3P/5PK1/8 b - - 6 51,"{'type': 'cp', 'value': 515}"
8/6k1/4R2p/6p1/r5P1/3B3P/5PK1/8 w - - 0 52,"{'type': 'cp', 'value': 545}"
8/6k1/3R3p/6p1/r5P1/3B3P/5PK1/8 b - - 1 52,"{'type': 'cp', 'value': 554}"
8/6k1/3R3p/6p1/5rP1/3B3P/5PK1/8 w - - 2 53,"{'type': 'cp', 'value': 544}"
8/6k1/3R3p/5Bp1/5rP1/7P/5PK1/8 b - - 3 53,"{'type': 'cp', 'value': 504}"
8/6k1/3R3p/5Bp1/1r4P1/7P/5PK1/8 w - - 4 54,"{'type': 'cp', 'value': 547}"
8/6k1/2R4p/5Bp1/1r4P1/7P/5PK1/8 b - - 5 54,"{'type': 'cp', 'value': 517}"
8/6k1/2R5/5Bpp/1r4P1/7P/5PK1/8 w - - 0 55,"{'type': 'cp', 'value': 525}"
8/6k1/6R1/5Bpp/1r4P1/7P/5PK1/8 b - - 1 55,"{'type': 'cp', 'value': 502}"
7k/8/6R1/5Bpp/1r4P1/7P/5PK1/8 w - - 2 56,"{'type': 'cp', 'value': 544}"
7k/8/6R1/5BpP/1r6/7P/5PK1/8 b - - 0 56,"{'type': 'cp', 'value': 523}"
7k/8/6R1/5BpP/5r2/7P/5PK1/8 w - - 1 57,"{'type': 'cp', 'value': 524}"
7k/3B4/6R1/6pP/5r2/7P/5PK1/8 b - - 2 57,"{'type': 'cp', 'value': 501}"
8/3B3k/6R1/6pP/5r2/7P/5PK1/8 w - - 3 58,"{'type': 'cp', 'value': 535}"
8/3B3k/3R4/6pP/5r2/7P/5PK1/8 b - - 4 58,"{'type': 'cp', 'value': 519}"
8/3B2k1/3R4/6pP/5r2/7P/5PK1/8 w - - 5 59,"{'type': 'cp', 'value': 518}"
8/3B2k1/6R1/6pP/5r2/7P/5PK1/8 b - - 6 59,"{'type': 'cp', 'value': 505}"
8/3B1k2/6R1/6pP/5r2/7P/5PK1/8 w - - 7 60,"{'type': 'cp', 'value': 536}"
8/5k2/6R1/6pP/5rB1/7P/5PK1/8 b - - 8 60,"{'type': 'cp', 'value': 523}"
8/5k2/6R1/6pP/r5B1/7P/5PK1/8 w - - 9 61,"{'type': 'cp', 'value': 550}"
8/5k2/6R1/5BpP/r7/7P/5PK1/8 b - - 10 61,"{'type': 'cp', 'value': 554}"
r7/5k2/6R1/5BpP/8/7P/5PK1/8 w - - 11 62,"{'type': 'cp', 'value': 584}"
r7/5k2/6R1/6pP/8/3B3P/5PK1/8 b - - 12 62,"{'type': 'cp', 'value': 530}"
2r5/5k2/6R1/6pP/8/3B3P/5PK1/8 w - - 13 63,"{'type': 'cp', 'value': 575}"
2r5/5k2/6R1/6pP/8/7P/5PK1/1B6 b - - 14 63,"{'type': 'cp', 'value': 551}"
5r2/5k2/6R1/6pP/8/7P/5PK1/1B6 w - - 15 64,"{'type': 'cp', 'value': 567}"
5r2/5k2/6R1/6pP/4B3/7P/5PK1/8 b - - 16 64,"{'type': 'cp', 'value': 536}"
1r6/5k2/6R1/6pP/4B3/7P/5PK1/8 w - - 17 65,"{'type': 'cp', 'value': 581}"
1r6/5k2/6R1/3B2pP/8/7P/5PK1/8 b - - 18 65,"{'type': 'cp', 'value': 547}"
1r6/4k3/6R1/3B2pP/8/7P/5PK1/8 w - - 19 66,"{'type': 'cp', 'value': 583}"
1r6/4k3/6RP/3B2p1/8/7P/5PK1/8 b - - 0 66,"{'type': 'cp', 'value': 561}"
8/4k3/6RP/3B2p1/1r6/7P/5PK1/8 w - - 1 67,"{'type': 'cp', 'value': 617}"
8/4k3/R6P/3B2p1/1r6/7P/5PK1/8 b - - 2 67,"{'type': 'cp', 'value': 546}"
8/4k3/R6P/3B2p1/7r/7P/5PK1/8 w - - 3 68,"{'type': 'cp', 'value': 594}"
8/4k2P/R7/3B2p1/7r/7P/5PK1/8 b - - 0 68,"{'type': 'cp', 'value': 644}"
8/4k2P/R7/3B4/6pr/7P/5PK1/8 w - - 0 69,"{'type': 'cp', 'value': 630}"
R7/4k2P/8/3B4/6pr/7P/5PK1/8 b - - 1 69,"{'type': 'cp', 'value': 630}"
R7/4k2r/8/3B4/6p1/7P/5PK1/8 w - - 0 70,"{'type': 'cp', 'value': 630}"
8/R3k2r/8/3B4/6p1/7P/5PK1/8 b - - 1 70,"{'type': 'cp', 'value': 624}"
8/R6r/5k2/3B4/6p1/7P/5PK1/8 w - - 2 71,"{'type': 'cp', 'value': 620}"
8/7R/5k2/3B4/6p1/7P/5PK1/8 b - - 0 71,"{'type': 'cp', 'value': 668}"
8/7R/5k2/3B4/8/7p/5PK1/8 w - - 0 72,"{'type': 'cp', 'value': 646}"
8/8/5k2/3B4/8/7R/5PK1/8 b - - 0 72,"{'type': 'cp', 'value': 626}"
8/8/8/3B2k1/8/7R/5PK1/8 w - - 1 73,"{'type': 'cp', 'value': 666}"
8/7R/8/3B2k1/8/8/5PK1/8 b - - 2 73,"{'type': 'cp', 'value': 627}"
8/7R/6k1/3B4/8/8/5PK1/8 w - - 3 74,"{'type': 'cp', 'value': 672}"
8/7R/6k1/3B4/5P2/8/6K1/8 b - - 0 74,"{'type': 'cp', 'value': 630}"
8/7R/5k2/3B4/5P2/8/6K1/8 w - - 1 75,"{'type': 'mate', 'value': 4}"
8/5R2/5k2/3B4/5P2/8/6K1/8 b - - 2 75,"{'type': 'mate', 'value': 3}"
8/5R2/6k1/3B4/5P2/8/6K1/8 w - - 3 76,"{'type': 'mate', 'value': 3}"
8/3R4/6k1/3B4/5P2/8/6K1/8 b - - 4 76,"{'type': 'mate', 'value': 4}"
8/3R4/8/3B1k2/5P2/8/6K1/8 w - - 5 77,"{'type': 'mate', 'value': 4}"
8/3R4/8/3B1k2/5P2/6K1/8/8 b - - 6 77,"{'type': 'cp', 'value': 1181}"
8/3R4/6k1/3B4/5P2/6K1/8/8 w - - 7 78,"{'type': 'mate', 'value': 3}"
8/8/3R2k1/3B4/5P2/6K1/8/8 b - - 8 78,"{'type': 'cp', 'value': 1204}"
8/8/3R4/3B1k2/5P2/6K1/8/8 w - - 9 79,"{'type': 'mate', 'value': 14}"
8/8/5R2/3B1k2/5P2/6K1/8/8 b - - 10 79,"{'type': 'cp', 'value': 607}"
8/8/5k2/3B4/5P2/6K1/8/8 w - - 0 80,"{'type': 'cp', 'value': 683}"
8/8/5k2/3B4/5PK1/8/8/8 b - - 1 80,"{'type': 'cp', 'value': 610}"
8/8/6k1/3B4/5PK1/8/8/8 w - - 2 81,"{'type': 'cp', 'value': 754}"
8/8/6k1/3B1P2/6K1/8/8/8 b - - 0 81,"{'type': 'cp', 'value': 637}"
8/7k/8/3B1P2/6K1/8/8/8 w - - 1 82,"{'type': 'cp', 'value': 771}"
8/7k/8/3B1PK1/8/8/8/8 b - - 2 82,"{'type': 'cp', 'value': 755}"
8/6k1/8/3B1PK1/8/8/8/8 w - - 3 83,"{'type': 'cp', 'value': 802}"
8/6k1/4B3/5PK1/8/8/8/8 b - - 4 83,"{'type': 'cp', 'value': 677}"
8/7k/4B3/5PK1/8/8/8/8 w - - 5 84,"{'type': 'cp', 'value': 768}"
8/7k/8/5PK1/2B5/8/8/8 b - - 6 84,"{'type': 'cp', 'value': 607}"
8/6k1/8/5PK1/2B5/8/8/8 w - - 7 85,"{'type': 'cp', 'value': 774}"
8/6k1/8/5PK1/8/1B6/8/8 b - - 8 85,"{'type': 'cp', 'value': 730}"
5k2/8/8/5PK1/8/1B6/8/8 w - - 9 86,"{'type': 'cp', 'value': 754}"
5k2/8/6K1/5P2/8/1B6/8/8 b - - 10 86,"{'type': 'cp', 'value': 756}"
8/4k3/6K1/5P2/8/1B6/8/8 w - - 11 87,"{'type': 'cp', 'value': 760}"
8/4k3/6K1/5P2/B7/8/8/8 b - - 12 87,"{'type': 'cp', 'value': 680}"
8/8/3k2K1/5P2/B7/8/8/8 w - - 13 88,"{'type': 'cp', 'value': 719}"
8/8/3k2K1/5P2/8/1B6/8/8 b - - 14 88,"{'type': 'cp', 'value': 738}"
8/8/2k3K1/5P2/8/1B6/8/8 w - - 15 89,"{'type': 'cp', 'value': 750}"
6B1/8/2k3K1/5P2/8/8/8/8 b - - 16 89,"{'type': 'cp', 'value': 741}"
6B1/8/6K1/1k3P2/8/8/8/8 w - - 17 90,"{'type': 'cp', 'value': 757}"
6B1/8/5PK1/1k6/8/8/8/8 b - - 0 90,"{'type': 'cp', 'value': 750}"
6B1/8/5PK1/2k5/8/8/8/8 w - - 1 91,"{'type': 'cp', 'value': 755}"
6B1/6K1/5P2/2k5/8/8/8/8 b - - 2 91,"{'type': 'cp', 'value': 752}"
6B1/6K1/5P2/8/1k6/8/8/8 w - - 3 92,"{'type': 'cp', 'value': 750}"
6B1/8/5PK1/8/1k6/8/8/8 b - - 4 92,"{'type': 'cp', 'value': 743}"
6B1/8/5PK1/2k5/8/8/8/8 w - - 5 93,"{'type': 'cp', 'value': 774}"
6B1/5P2/6K1/2k5/8/8/8/8 b - - 0 93,"{'type': 'cp', 'value': 728}"
6B1/5P2/6K1/8/2k5/8/8/8 w - - 1 94,"{'type': 'cp', 'value': 759}"
6B1/5P2/8/5K2/2k5/8/8/8 b - - 2 94,"{'type': 'cp', 'value': 719}"
6B1/5P2/8/1k3K2/8/8/8/8 w - - 3 95,"{'type': 'cp', 'value': 741}"
5QB1/8/8/1k3K2/8/8/8/8 b - - 0 95,"{'type': 'mate', 'value': 7}"
5QB1/8/2k5/5K2/8/8/8/8 w - - 1 96,"{'type': 'mate', 'value': 9}"
2Q3B1/8/2k5/5K2/8/8/8/8 b - - 2 96,"{'type': 'cp', 'value': 757}"
2Q3B1/8/8/1k3K2/8/8/8/8 w - - 3 97,"{'type': 'mate', 'value': 8}"
6B1/1Q6/8/1k3K2/8/8/8/8 b - - 4 97,"{'type': 'cp', 'value': 716}"
6B1/1Q6/8/2k2K2/8/8/8/8 w - - 5 98,"{'type': 'mate', 'value': 8}"
6B1/1Q6/8/2k5/6K1/8/8/8 b - - 6 98,"{'type': 'cp', 'value': 721}"
6B1/1Q6/3k4/8/6K1/8/8/8 w - - 7 99,"{'type': 'mate', 'value': 7}"
6B1/8/3k4/8/1Q4K1/8/8/8 b - - 8 99,"{'type': 'cp', 'value': 719}"
6B1/8/2k5/8/1Q4K1/8/8/8 w - - 9 100,"{'type': 'mate', 'value': 5}"
6B1/8/2k5/8/6K1/2Q5/8/8 b - - 10 100,"{'type': 'cp', 'value': 697}"
6B1/3k4/8/8/6K1/2Q5/8/8 w - - 11 101,"{'type': 'mate', 'value': 5}"
6B1/3k4/8/8/6K1/8/3Q4/8 b - - 12 101,"{'type': 'cp', 'value': 679}"
6B1/8/2k5/8/6K1/8/3Q4/8 w - - 13 102,"{'type': 'mate', 'value': 7}"
6B1/8/2k5/8/6K1/2Q5/8/8 b - - 14 102,"{'type': 'cp', 'value': 686}"
6B1/8/1k6/8/6K1/2Q5/8/8 w - - 15 103,"{'type': 'mate', 'value': 6}"
6B1/8/1k6/8/3Q2K1/8/8/8 b - - 16 103,"{'type': 'cp', 'value': 661}"
6B1/2k5/8/8/3Q2K1/8/8/8 w - - 17 104,"{'type': 'mate', 'value': 7}"
6B1/2k5/8/8/5QK1/8/8/8 b - - 18 104,"{'type': 'cp', 'value': 646}"
6B1/8/1k6/8/5QK1/8/8/8 w - - 19 105,"{'type': 'mate', 'value': 5}"
6B1/8/1k1Q4/8/6K1/8/8/8 b - - 20 105,"{'type': 'mate', 'value': 5}"
6B1/8/3Q4/1k6/6K1/8/8/8 w - - 21 106,"{'type': 'mate', 'value': 4}"
6B1/8/8/1k2Q3/6K1/8/8/8 b - - 22 106,"{'type': 'cp', 'value': 642}"
6B1/8/2k5/4Q3/6K1/8/8/8 w - - 23 107,"{'type': 'cp', 'value': 654}"
6B1/8/2k5/4Q3/5K2/8/8/8 b - - 24 107,"{'type': 'mate', 'value': 7}"
6B1/3k4/8/4Q3/5K2/8/8/8 w - - 25 108,"{'type': 'mate', 'value': 4}"
6B1/3k4/8/8/3Q1K2/8/8/8 b - - 26 108,"{'type': 'cp', 'value': 626}"
6B1/8/2k5/8/3Q1K2/8/8/8 w - - 27 109,"{'type': 'mate', 'value': 7}"
8/8/2k5/3B4/3Q1K2/8/8/8 b - - 28 109,"{'type': 'mate', 'value': 5}"
8/2k5/8/3B4/3Q1K2/8/8/8 w - - 29 110,"{'type': 'mate', 'value': 5}"
8/2k5/8/3B4/5K2/2Q5/8/8 b - - 30 110,"{'type': 'cp', 'value': 625}"
8/8/3k4/3B4/5K2/2Q5/8/8 w - - 31 111,"{'type': 'mate', 'value': 4}"
8/8/2Qk4/3B4/5K2/8/8/8 b - - 32 111,"{'type': 'mate', 'value': 5}"
8/4k3/2Q5/3B4/5K2/8/8/8 w - - 33 112,"{'type': 'mate', 'value': 4}"
8/2Q1k3/8/3B4/5K2/8/8/8 b - - 34 112,"{'type': 'mate', 'value': 4}"
4k3/2Q5/8/3B4/5K2/8/8/8 w - - 35 113,"{'type': 'mate', 'value': 2}"
4k3/8/8/3BQ3/5K2/8/8/8 b - - 36 113,"{'type': 'mate', 'value': 4}"
3k4/8/8/3BQ3/5K2/8/8/8 w - - 37 114,"{'type': 'mate', 'value': 3}"
3k4/8/3Q4/3B4/5K2/8/8/8 b - - 38 114,"{'type': 'mate', 'value': 5}"
2k5/8/3Q4/3B4/5K2/8/8/8 w - - 39 115,"{'type': 'mate', 'value': 2}"
2k5/8/4Q3/3B4/5K2/8/8/8 b - - 40 115,"{'type': 'mate', 'value': 7}"
3k4/8/4Q3/3B4/5K2/8/8/8 w - - 41 116,"{'type': 'mate', 'value': 3}"
3k2Q1/8/8/3B4/5K2/8/8/8 b - - 42 116,"{'type': 'mate', 'value': 5}"
6Q1/4k3/8/3B4/5K2/8/8/8 w - - 43 117,"{'type': 'mate', 'value': 4}"
8/4kQ2/8/3B4/5K2/8/8/8 b - - 44 117,"{'type': 'cp', 'value': 571}"
8/5Q2/3k4/3B4/5K2/8/8/8 w - - 45 118,"{'type': 'mate', 'value': 8}"
8/5Q2/3k4/8/4BK2/8/8/8 b - - 46 118,"{'type': 'cp', 'value': 556}"
8/5Q2/8/2k5/4BK2/8/8/8 w - - 47 119,"{'type': 'mate', 'value': 10}"
8/5Q2/8/2k5/5K2/5B2/8/8 b - - 48 119,"{'type': 'cp', 'value': 531}"
8/5Q2/8/8/1k3K2/5B2/8/8 w - - 49 120,"{'type': 'cp', 'value': 586}"
8/8/8/5Q2/1k3K2/5B2/8/8 b - - 50 120,"{'type': 'mate', 'value': 8}"
8/8/8/5Q2/5K2/k4B2/8/8 w - - 51 121,"{'type': 'mate', 'value': 4}"
8/8/8/8/5K2/k2Q1B2/8/8 b - - 52 121,"{'type': 'cp', 'value': 538}"
8/8/8/8/1k3K2/3Q1B2/8/8 w - - 53 122,"{'type': 'mate', 'value': 6}"
8/8/8/8/1k3K2/5B2/3Q4/8 b - - 54 122,"{'type': 'mate', 'value': 9}"
8/8/8/8/k4K2/5B2/3Q4/8 w - - 55 123,"{'type': 'mate', 'value': 4}"
8/8/2B5/8/k4K2/8/3Q4/8 b - - 56 123,"{'type': 'cp', 'value': 536}"
8/8/2B5/8/5K2/1k6/3Q4/8 w - - 57 124,"{'type': 'mate', 'value': 5}"
8/8/2B5/8/5K2/1k1Q4/8/8 b - - 58 124,"{'type': 'mate', 'value': 7}"
8/8/2B5/8/5K2/3Q4/1k6/8 w - - 59 125,"{'type': 'mate', 'value': 6}"
8/8/2B5/8/3Q1K2/8/1k6/8 b - - 60 125,"{'type': 'mate', 'value': 6}"
8/8/2B5/8/3Q1K2/8/8/2k5 w - - 61 126,"{'type': 'mate', 'value': 4}"
8/8/2B5/8/5K2/4Q3/8/2k5 b - - 62 126,"{'type': 'mate', 'value': 8}"
8/8/2B5/8/5K2/4Q3/8/1k6 w - - 63 127,"{'type': 'mate', 'value': 3}"
8/8/2B5/8/5K2/1Q6/8/1k6 b - - 64 127,"{'type': 'mate', 'value': 3}"
8/8/2B5/8/5K2/1Q6/8/2k5 w - - 65 128,"{'type': 'mate', 'value': 2}"
8/8/2B5/8/5K2/Q7/8/2k5 b - - 66 128,"{'type': 'mate', 'value': 5}"
8/8/2B5/8/5K2/Q7/8/3k4 w - - 67 129,"{'type': 'mate', 'value': 3}"
8/8/8/8/B4K2/Q7/8/3k4 b - - 68 129,"{'type': 'mate', 'value': 5}"
8/8/8/8/B4K2/Q7/8/4k3 w - - 69 130,"{'type': 'mate', 'value': 2}"
8/8/8/8/B4K2/4Q3/8/4k3 b - - 70 130,"{'type': 'mate', 'value': 3}"
8/8/8/8/B4K2/4Q3/8/5k2 w - - 71 131,"{'type': 'mate', 'value': 3}"
8/8/8/8/B4K2/8/8/2Q2k2 b - - 72 131,"{'type': 'mate', 'value': 5}"
8/8/8/8/B4K2/8/5k2/2Q5 w - - 73 132,"{'type': 'mate', 'value': 3}"
8/8/8/2Q5/B4K2/8/5k2/8 b - - 74 132,"{'type': 'mate', 'value': 3}"
8/8/8/2Q5/B4K2/8/6k1/8 w - - 75 133,"{'type': 'mate', 'value': 4}"
8/8/8/8/BQ3K2/8/6k1/8 b - - 76 133,"{'type': 'mate', 'value': 4}"
8/8/8/8/BQ3K2/8/5k2/8 w - - 77 134,"{'type': 'mate', 'value': 4}"
8/8/8/8/B4K2/8/3Q1k2/8 b - - 78 134,"{'type': 'mate', 'value': 4}"
8/8/8/8/B4K2/8/3Q4/5k2 w - - 79 135,"{'type': 'mate', 'value': 2}"
8/3B4/8/8/5K2/8/3Q4/5k2 b - - 80 135,"{'type': 'mate', 'value': 3}"
8/3B4/8/8/5K2/8/3Q4/6k1 w - - 81 136,"{'type': 'mate', 'value': 2}"
8/3B4/8/8/8/6K1/3Q4/6k1 b - - 82 136,"{'type': 'mate', 'value': 1}"
8/3B4/8/8/8/6K1/3Q4/7k w - - 83 137,"{'type': 'mate', 'value': 1}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 29}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 30}"
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 55}"
